kind	id	title	year	titleYear	status	matchedKey	candidateKeys
movie	ftp_38	Singh Vs Kaur (2013)	2026	2013	MISS		movie:Singh Vs Kaur:2013 | movie:Singh Vs Kaur:2026 | movie:Singh Vs Kaur (2013):2013 | movie:Singh Vs Kaur (2013):2026 | movie:ftp_38:2013 | movie:ftp_38:2026 | movie:Singh Vs Kaur: | movie:Singh Vs Kaur (2013):
movie	ftp_39	Mardaani (2014)	2026	2014	MISS		movie:Mardaani:2014 | movie:Mardaani:2026 | movie:Mardaani (2014):2014 | movie:Mardaani (2014):2026 | movie:ftp_39:2014 | movie:ftp_39:2026 | movie:Mardaani: | movie:Mardaani (2014):
movie	ftp_40	Saka (2016)	2026	2016	MISS		movie:Saka:2016 | movie:Saka:2026 | movie:Saka (2016):2016 | movie:Saka (2016):2026 | movie:ftp_40:2016 | movie:ftp_40:2026 | movie:Saka: | movie:Saka (2016):
movie	ftp_41	Maatr (2017)	2026	2017	MISS		movie:Maatr:2017 | movie:Maatr:2026 | movie:Maatr (2017):2017 | movie:Maatr (2017):2026 | movie:ftp_41:2017 | movie:ftp_41:2026 | movie:Maatr: | movie:Maatr (2017):
movie	ftp_42	Rabb Da Radio (2017)	2026	2017	MISS		movie:Rabb Da Radio:2017 | movie:Rabb Da Radio:2026 | movie:Rabb Da Radio (2017):2017 | movie:Rabb Da Radio (2017):2026 | movie:ftp_42:2017 | movie:ftp_42:2026 | movie:Rabb Da Radio: | movie:Rabb Da Radio (2017):
movie	ftp_43	Bharat (2019)	2026	2019	MISS		movie:Bharat:2019 | movie:Bharat:2026 | movie:Bharat (2019):2019 | movie:Bharat (2019):2026 | movie:ftp_43:2019 | movie:ftp_43:2026 | movie:Bharat: | movie:Bharat (2019):
movie	ftp_44	One Friday Night (2022)	2026	2022	MISS		movie:One Friday Night:2022 | movie:One Friday Night:2026 | movie:One Friday Night (2022):2022 | movie:One Friday Night (2022):2026 | movie:ftp_44:2022 | movie:ftp_44:2026 | movie:One Friday Night: | movie:One Friday Night (2022):
movie	ftp_45	Lakadbaggha (2023)	2026	2023	MISS		movie:Lakadbaggha:2023 | movie:Lakadbaggha:2026 | movie:Lakadbaggha (2023):2023 | movie:Lakadbaggha (2023):2026 | movie:ftp_45:2023 | movie:ftp_45:2026 | movie:Lakadbaggha: | movie:Lakadbaggha (2023):
movie	ftp_46	Dhurandhar (2025)	2026	2025	HIT_EXACT	movie:Dhurandhar:2026	movie:Dhurandhar:2025 | movie:Dhurandhar:2026 | movie:Dhurandhar (2025):2025 | movie:Dhurandhar (2025):2026 | movie:ftp_46:2025 | movie:ftp_46:2026 | movie:Dhurandhar: | movie:Dhurandhar (2025):
movie	ftp_47	Maalik (2025)	2026	2025	MISS		movie:Maalik:2025 | movie:Maalik:2026 | movie:Maalik (2025):2025 | movie:Maalik (2025):2026 | movie:ftp_47:2025 | movie:ftp_47:2026 | movie:Maalik: | movie:Maalik (2025):
movie	ftp_48	Mayasabha (2026)	2026	2026	MISS		movie:Mayasabha:2026 | movie:Mayasabha (2026):2026 | movie:ftp_48:2026 | movie:Mayasabha: | movie:Mayasabha (2026):
movie	ftp_49	Vadh 2 (2025)	2026	2025	MISS		movie:Vadh 2:2025 | movie:Vadh 2:2026 | movie:Vadh 2 (2025):2025 | movie:Vadh 2 (2025):2026 | movie:ftp_49:2025 | movie:ftp_49:2026 | movie:Vadh 2: | movie:Vadh 2 (2025):
movie	ftp_50	Assi (2026)	2026	2026	MISS		movie:Assi:2026 | movie:Assi (2026):2026 | movie:ftp_50:2026 | movie:Assi: | movie:Assi (2026):
movie	ftp_51	Bhabiji Ghar Par Hain-Fun on the Run (2026)	2026	2026	MISS		movie:Bhabiji Ghar Par Hain-Fun on the Run:2026 | movie:Bhabiji Ghar Par Hain-Fun on the Run (2026):2026 | movie:ftp_51:2026 | movie:Bhabiji Ghar Par Hain-Fun on the Run: | movie:Bhabiji Ghar Par Hain-Fun on the Run (2026):
movie	ftp_52	Border 2 (2026)	2026	2026	MISS		movie:Border 2:2026 | movie:Border 2 (2026):2026 | movie:ftp_52:2026 | movie:Border 2: | movie:Border 2 (2026):
movie	ftp_53	Dhurandhar-The Revenge (2026)	2026	2026	MISS		movie:Dhurandhar-The Revenge:2026 | movie:Dhurandhar-The Revenge (2026):2026 | movie:ftp_53:2026 | movie:Dhurandhar-The Revenge: | movie:Dhurandhar-The Revenge (2026):
movie	ftp_54	Do Deewane Seher Mein (2026)	2026	2026	MISS		movie:Do Deewane Seher Mein:2026 | movie:Do Deewane Seher Mein (2026):2026 | movie:ftp_54:2026 | movie:Do Deewane Seher Mein: | movie:Do Deewane Seher Mein (2026):
movie	ftp_55	Everybody Loves Sohrab Handa (2026)	2026	2026	MISS		movie:Everybody Loves Sohrab Handa:2026 | movie:Everybody Loves Sohrab Handa (2026):2026 | movie:ftp_55:2026 | movie:Everybody Loves Sohrab Handa: | movie:Everybody Loves Sohrab Handa (2026):
